Skyline College,,,,Open Classes,Fall 2022,-,,,,,,8/6/2022,4:34:04,AM,
94133,FITN,334.3,YJH,Yoga III,08/18-12/15,TR,1810 - 1925,"Cho, David Hing Pang",1,1,2-ONLN,0,,,
97372,FITN,334.4,YJH,Yoga IV,08/18-12/15,TR,1810 - 1925,"Cho, David Hing Pang",1,1,2-ONLN,0,,,
97780,FITN,335.1,OLH,Pilates I,08/17-12/17,,-,"Steele, Amber N",1,1,2-ONLN,0,Y,,
97782,FITN,335.2,OLH,Pilates II,08/17-12/17,,-,"Steele, Amber N",1,1,2-ONLN,0,Y,,
97783,FITN,335.3,OLH,Pilates III,08/17-12/17,,-,"Steele, Amber N",1,1,2-ONLN,0,Y,,
94171,FITN,400.1,AX,Fitness Academy I,08/17-12/17,,-,"Watters, Christopher John",1,3,2-03,3104,,,
94172,FITN,400.2,AX,Fitness Academy II,08/17-12/17,,-,"Watters, Christopher John",1,3,2-03,3104,,,
94172,FITN,400.2,AX,Fitness Academy II,08/17-12/17,,-,"Watters, Christopher John",1,3,,,,,
94173,FITN,400.3,AX,Fitness Academy III,08/17-12/17,,-,"Watters, Christopher John",1,3,2-03,3104,,,
94173,FITN,400.3,AX,Fitness Academy III,08/17-12/17,,-,"Watters, Christopher John",1,3,,,,,
97325,GEOG,100,AA,Physical Geography,08/18-12/08,TR,1110 - 1225,"Cunningham, Rachel Lynn",3,,2-12,116,,,
94146,GEOG,100,OLH,Physical Geography,08/17-12/17,,-,"Gutierrez, Alma Daisy",3,3,2-ONLN,0,Y,,
97327,GEOG,101,AA,Physical Geography Lab,08/23-12/06,T,1300 - 1600,"Cunningham, Rachel Lynn",1,,2-12,120,,,
94145,GEOG,101,OLH,Physical Geography Lab,08/17-12/17,,-,"Gutierrez, Alma Daisy",1,1,2-ONLN,0,Y,,
96233,GEOG,110,OLH,Cultural Geography,08/17-12/17,,-,"Cunningham, Rachel Lynn",3,,2-ONLN,0,Y,,
96901,GEOG,150,OLH,World Regional Geography,08/17-12/17,,-,"Cunningham, Rachel Lynn",3,,2-ONLN,0,Y,,
96902,GEOG,300,OSH,Geographic Information Science,09/12-12/17,,-,"Cunningham, Rachel Lynn",3,,2-ONLN,0,Y,,
95777,GEOL,106,OLH,Weather and Climate,08/17-12/17,,-,"Patel, Nidhi Nakul",4,,2-ONLN,0,Y,,
96966,GEOL,106,POH,Weather and Climate-PROM,08/17-12/17,,-,"Patel, Nidhi Nakul",4,,2-ONLN,0,Y,,
92635,GEOL,210,YBH,General Geology,08/17-12/07,M,1400 - 1705,"Leclere, Shirin",4,,2-ONLN,0,,,
92635,GEOL,210,YBH,General Geology,08/17-12/07,MW,1230 - 1350,"Leclere, Shirin",4,,2-ONLN,0,,,
97612,HIST,100,JA,History Western Civ I,08/18-12/15,R,1800 - 2100,"Sw anson, Anthony R",3,,2-12,120,,,
90477,HIST,100,OLH,History Western Civ I,08/17-12/17,,-,"Greedy, Matthew",T,3,3,2-ONLN,0,Y,
80438,HIST,100,OMH,History Western Civ I,08/17-12/17,,-,"Greedy, Matthew",T,3,3,2-ONLN,0,Y,
96204,HIST,101,AA,History Western Civ II,08/17-12/07,MW,1110 - 1225,"Bell, Rosemary",3,,2-07,7110,,,
97677,HIST,104,AB,World Civilizations I,08/18-12/08,TR,1235 - 1350,"Bell, Rosemary",3,,2-04,180,,,
,,,,,,,22,of,38,,,,,,
,,,,,,,,,,,,Web,Web,Hybrid,Learn
CRN,Subj,Crse,Sec,Title,Dates,Days,Time,Instructor,Units,,Bldg,Room,,,
,,,,,,,,,,,,Based,Asst,Comm,
96908,HIST,104,OLH,World Civilizations I,08/17-12/17,,-,"Greedy, Matthew",T,3,2-ONLN,0,Y,,
97613,HIST,104,OSH,World Civilizations I,09/12-12/17,,-,"Phipps, Michael Frederick",3,,2-ONLN,0,Y,,
97407,HIST,106,OLH,World Civilizations II,08/17-12/17,,-,"Skovgaard, John Paul",3,,2-ONLN,0,Y,,
80443,HIST,108,OLH,Survey of American History,08/17-12/17,,-,"Reidy, Nancy Jean",3,3,2-ONLN,0,Y,,
96311,HIST,108,OSH,Survey of American History,10/17-12/17,,-,"Reidy, Nancy Jean",3,,2-ONLN,0,Y,,
97638,HIST,201,AA,United States History I,08/17-12/09,MWF,0910 - 1000,"Wong, Jimmy I",3,,2-04,170,,,
97615,HIST,201,AB,United States History I,08/17-12/09,MWF,1010 - 1100,"Wong, Jimmy I",3,,2-04,170,,,
92421,HIST,201,OLH,United States History I,08/17-12/17,,-,"Wong, Jimmy I",3,,2-ONLN,0,Y,,
93618,HIST,201,OSH,United States History I,10/17-12/17,,-,"Ulloa, John Christopher",3,3,2-ONLN,0,Y,,
86551,HIST,202,OMH,United States History II,08/17-12/17,,-,"Bolick, Paul W",3,3,2-ONLN,0,Y,,
96239,HIST,202,OSH,United States History II,10/17-12/17,,-,"Bolick, Paul W",3,,2-ONLN,0,Y,,
94890,HIST,235,OMH,History of Ethnic Groups in US,08/17-12/17,,-,"Ulloa, John Christopher",3,,2-ONLN,0,Y,,
95530,HIST,235,PA,Hist.of Ethnic Groups US-PROM,08/18-12/08,TR,1110 - 1225,"Ulloa, John Christopher",3,3,2-08,8308,,,
97633,HIST,240,AA,History of Ethnic Groups in CA,08/17-12/17,TR,1110 - 1225,"Wong, Jimmy I",3,,2-04,170,,,
94312,HIST,240,JX,History of Ethnic Groups in CA,08/23-12/13,T,1800 - 2100,"Popal, Mohammad M",3,3,2-12,120,,,
96936,HIST,240,PJ,Hist of Ethnic Grps in CA-PROM,08/23-12/13,T,1800 - 2100,"Popal, Mohammad M",3,,2-12,120,,,
96938,HIST,244,OLH,African American History,08/17-12/17,,-,"Collins, Christopher Jerm",3,,2-ONLN,0,Y,Y,
96580,HIST,248,OLH,Women& The American Experience,08/17-12/17,,-,"Irish, Melissa Marie Wagn",3,,2-ONLN,0,Y,,
93583,HIST,310,AA,California History,08/17-12/07,MW,0935 - 1050,"Bell, Rosemary",3,3,2-07,7110,,,
85348,HIST,310,ONH,California History,08/17-12/17,,-,"Wong, Jimmy I",3,3,2-ONLN,0,Y,,
89212,HIST,435,AK,Hist.of Philippines - KABA,08/18-12/08,TR,0935 - 1050,"Daus - Magbual, Roderick",3,3,2-04,180,Y,,
95060,HIST,435,AX,Hist. of the Philippines KABA,08/18-12/08,TR,0935 - 1050,"Daus - Magbual, Roderick",3,3,2-04,180,Y,,
95591,HIST,435,PK,Hist of Philippines-PROM KABA,08/18-12/08,TR,0935 - 1050,"Daus - Magbual, Roderick",3,3,2-04,180,Y,,
80461,HSCI,100,AA,General Health Education,08/17-12/07,MW,1110 - 1230,"Evans, Maiya Lanae",3,3,2-08,8304,,,
83136,HSCI,130,OLH,Human Sexuality,08/17-12/17,,-,"Holland, Christi Sierra",3,,2-ONLN,0,Y,,
94042,HSCI,314,HL,Health/Safety/Nutrition-Child,11/22-11/29,T,1800 - 2100,"Kiesselbach, Lisa Marie",3,,2-14,6,Y,,
94042,HSCI,314,HL,Health/Safety/Nutrition-Child,08/23-12/13,,-,"Kiesselbach, Lisa Marie",3,,2-ONLN,0,Y,,
,,,,,,,23,of,38,,,,,,
,,,,,,,,,,,,Web,Web,Hybrid,Learn
CRN,Subj,Crse,Sec,Title,Dates,Days,Time,Instructor,Units,,Bldg,Room,,,
,,,,,,,,,,,,Based,Asst,Comm,
96209,HSCI,484,OLH,Medical Terminology,08/17-12/17,,-,"Holland, Christi Sierra",3,,2-ONLN,0,Y,,
97514,HSCI,484,ONH,Medical Terminology,08/17-12/17,,-,"Hernandez, Charles Thornt",3,,2-ONLN,0,Y,,
94617,HTM.,101,OLH,Intro-Hospitality/Tourism Mgmt,08/17-12/17,,-,"Krone, Lisa J",3,,2-ONLN,0,Y,,
96407,HTM.,140,CI,Meeting/Event/Conf.Mgmt CIPHER,09/07-12/17,T,1800 - 2030,"McCarthy, Soledad Alejand",3,,2-08,8306,Y,Y,
96407,HTM.,140,CI,Meeting/Event/Conf.Mgmt CIPHER,09/07-12/17,,-,"McCarthy, Soledad Alejand",3,,2-ONLN,0,Y,Y,
96236,IBUS,101,OLH,Global Trade and Logistics II,10/13-12/09,,-,"Lew is, Alpha P",3,,2-ONLN,0,Y,,
96778,IBUS,113,OLH,Intro to Supply Chain Mngmt,08/17-10/11,,-,"Lew is, Alpha P",3,,2-ONLN,0,Y,,
97251,IDST,105,OSH,Honors Research Seminar,09/12-12/17,,-,"Schubert, Susanne Gundula2",,,2-ONLN,0,Y,,
97085,IDST,105,YSH,Honors Research Seminar,09/14-12/07,W,1510 - 1700,"Sapigao, Janice Lobo",2,,2-ONLN,0,,,
95694,INDV,101.1,AX,Archery I,08/18-12/08,TR,1110 - 1225,"Fitzgerald, Michael Clark",1,1,2-03,FIELD,,,
94185,INDV,101.1,BX,Archery I,08/18-12/08,TR,1235 - 1350,"Fitzgerald, Michael Clark",1,1,2-03,FIELD,,,
95695,INDV,101.2,AX,Archery II,08/18-12/08,TR,1110 - 1225,"Fitzgerald, Michael Clark",1,1,2-03,FIELD,,,
94186,INDV,101.2,BX,Archery II,08/18-12/08,TR,1235 - 1350,"Fitzgerald, Michael Clark",1,1,2-03,FIELD,,,
95696,INDV,101.3,AX,Archery III,08/18-12/08,TR,1110 - 1225,"Fitzgerald, Michael Clark",1,1,2-03,FIELD,,,
94187,INDV,101.3,BX,Archery III,08/18-12/08,TR,1235 - 1350,"Fitzgerald, Michael Clark",1,1,2-03,FIELD,,,
95697,INDV,101.4,AX,Archery IV,08/18-12/08,TR,1110 - 1225,"Fitzgerald, Michael Clark",1,1,2-03,FIELD,,,
94188,INDV,101.4,BX,Archery IV,08/18-12/08,TR,1235 - 1350,"Fitzgerald, Michael Clark",1,1,2-03,FIELD,,,
94189,INDV,121.1,BX,Badminton I,08/17-12/09,MWF,1210 - 1300,"Watters, Christopher John",1,1,2-03,3200,,,
94190,INDV,121.2,BX,Badminton II,08/17-12/09,MWF,1210 - 1300,"Watters, Christopher John",1,1,2-03,3200,,,
94191,INDV,121.3,BX,Badminton III,08/17-12/09,MWF,1210 - 1300,"Watters, Christopher John",1,1,2-03,3200,,,
94197,INDV,251.1,BX,Tennis I,08/18-12/08,TR,1235 - 1350,"Watters, Christopher John",1,1,2-03,COURT,,,
94198,INDV,251.2,AX,Tennis II,08/18-12/08,TR,1235 - 1350,"Watters, Christopher John",1,1,2-03,COURT,,,
94199,INDV,251.3,AX,Tennis III,08/18-12/08,TR,1235 - 1350,"Watters, Christopher John",1,1,2-03,COURT,,,
90083,JOUR,110,AA,Mass Media & Society,08/17-12/09,MWF,1010 - 1100,"Kaplan-Biegel, Nancy Ann",3,3,2-08,8117,,,
96487,JOUR,110,OLH,Mass Media & Society,08/17-12/17,,-,"Kaplan-Biegel, Nancy Ann",3,,2-ONLN,0,Y,,
97496,JOUR,120,AX,Wrting & Reporting for Media,08/17-12/09,MWF,0910 - 1000,"Kaplan-Biegel, Nancy Ann",3,,2-08,8117,,,
97707,JOUR,120,OSH,Wtring& Reporting forthe Media,09/06-12/17,,-,"Kaplan-Biegel, Nancy Ann",3,,2-ONLN,0,Y,,
,,,,,,,24,of,38,,,,,,
,,,,,,,,,,,,Web,Web,Hybrid,Learn
CRN,Subj,Crse,Sec,Title,,Dates,Days,Time,Instructor,Units,Bldg,Room,,,
,,,,,,,,,,,,Based,Asst,Comm,
97501,JOUR,121,AX,AdvWriting&Reporting for Media,,08/17-12/09,MWF,0910 - 1000,"Kaplan-Biegel, Nancy Ann",3,2-08,8117,,,
97512,JOUR,320,AX,Beginning New spaper Staff,,08/17-12/09,MWF,1210 - 1300,"Kaplan-Biegel, Nancy Ann",3,2-08,8110,,,
97630,JOUR,330,AX,Intermediate New spaper Staff,,08/17-12/09,MWF,1210 - 1300,"Kaplan-Biegel, Nancy Ann",3,2-08,8110,,,
97634,JOUR,340,AX,Intermed. Adv. New spaper Staff,,08/17-12/09,MWF,1210 - 1300,"Kaplan-Biegel, Nancy Ann",3,2-08,8110,,,
97635,JOUR,350,AX,Advanced New spaper Staff,,08/17-12/09,MWF,1210 - 1300,"Kaplan-Biegel, Nancy Ann",3,2-08,8110,,,
97339,KINE,100,BA,Introduction to Kinesiology,,08/18-12/08,TR,1110 - 1225,"Corsiglia, Kevin A",3,2-03,C,,,
94003,KINE,100,OLH,Introduction to Kinesiology,,08/17-12/17,,-,"Corsiglia, Kevin A",3,2-ONLN,0,Y,,
94936,KINE,305,OLH,Health-Related Fitn/Wellness,,08/17-12/17,,-,"Corsiglia, Kevin A",3,2-ONLN,0,Y,,
88812,LEGL,240,JA,Introduction to Law,,08/22-12/12,M,1800 - 2105,"Gaudio, Maria Segarra",3,3,2-04,170,,
94950,LEGL,245,JA,Paralegal Profession I,,08/18-12/15,R,1800 - 2100,"Gaudio, Maria Segarra",3,2-04,170,,,
94593,LEGL,245,OLH,Paralegal Profession I,,08/17-12/17,,-,"Bernardo, Sheryl M.",3,2-ONLN,0,Y,,
96759,LEGL,252,JA,Civil Litigation/Trial Prep.,,08/23-12/13,T,1800 - 2100,"Bernardo, Sheryl M.",3,2-04,170,,,
96301,LEGL,275,HA,"Const. Law , Civil Rights/Liber",,08/17-12/07,W,1110 - 1225,"Raskin, Jesse Weissman",3,2-08,8308,Y,,
96301,LEGL,275,HA,"Const. Law , Civil Rights/Liber",,08/17-12/07,,-,"Raskin, Jesse Weissman",3,,,Y,,
95069,LEGL,304,AX,Concepts of Criminal Law,,08/17-12/17,MWF,1110 - 1200,"Aurilio, Steven L",3,2-01,1304,,,
97730,LEGL,430,ZJH,Law,Office Technology,08/23-12/14,W,1830 - 2000,"Corzonkoff, Barbara River",3,2-ONLN,0,,,
97730,LEGL,430,ZJH,Law,Office Technology,08/23-12/14,,-,"Corzonkoff, Barbara River",3,2-ONLN,0,,,
96243,LEGL,670,AAH,Paralegal Internship,,08/17-12/17,,-,"Raskin, Jesse Weissman",3,2-TBA,0,,,
95451,LIT.,231,OSH,Survey of British Literature I,,08/29-12/17,,-,"Erw ert, Anna Marie",3,2-ONLN,0,Y,,
97712,LIT.,267,OKH,Filipino American Lit KABA,,08/29-12/17,,-,"Erpelo, LizaMarie S",3,2-ONLN,0,Y,Y,
96629,LSKL,110,HA,Effective Tutoring & Practicum,,09/27-11/01,TR,1300 - 1400,"Lindo, Joshua Michael",1,1,2-05,5102,Y,
96629,LSKL,110,HA,Effective Tutoring & Practicum,,09/27-11/01,,-,"Lindo, Joshua Michael",1,1,2-ONLN,0,Y,
91661,LSKL,800,AA,Supplemental Learn Assis (.5),,08/17-12/09,,-,"De Barra, Chelssee Randal",0.5,0.5,2-05,5100,,
89422,LSKL,800,AB,Supplemental Learn Assis (1),,08/17-12/09,,-,"De Barra, Chelssee Randal",1,1,2-05,5100,,
91923,LSKL,800,OLH,Supplemental Learn. Assis.(.5),,08/17-12/09,,-,"De Barra, Chelssee Randal",0.5,0.5,2-ONLN,0,Y,
85925,LSKL,800,OMH,Supplemental Learn. Assis. (1),,08/17-12/09,,-,"De Barra, Chelssee Randal",1,1,2-ONLN,0,Y,
91283,LSKL,800,OQH,Supp.Lrn Asst.-TRIO (1),,08/17-12/09,,-,"De Barra, Chelssee Randal",1,1,2-ONLN,0,Y,
,,,,,,,,25,of,38,,,,,
,,,,,,,,,,,,Web,Web,Hybrid,Learn
CRN,Subj,Crse,Sec,Title,,Dates,Days,Time,Instructor,Units,Bldg,Room,,,
,,,,,,,,,,,,Based,Asst,Comm,
90709,LSKL,800,OTH,Supp.Lrn Asst.-TRIO (.5),,08/17-12/09,,-,"De Barra, Chelssee Randal",0.5,0.5,2-ONLN,0,Y,
91662,LSKL,800,PA,Supp. Lrn. Asst. - PROM (.5),,08/17-12/09,,-,"De Barra, Chelssee Randal",0.5,0.5,2-05,5100,,
91663,LSKL,800,PB,Supp. Lrn. Asst. - PROM (1),,08/17-12/09,,-,"De Barra, Chelssee Randal",1,1,2-05,5100,,
96971,LSKL,800,PMH,Supp. Lrn. Asst. - PROM (1),,08/17-12/09,,-,"De Barra, Chelssee Randal",1,1,2-ONLN,0,Y,
91660,LSKL,800,POH,Supp. Lrn. Asst. - PROM (.5),,08/17-12/09,,-,"De Barra, Chelssee Randal",0.5,0.5,2-ONLN,0,Y,
92018,LSKL,800,TI,Supp.Lrn Asst.-TRIO (1),,08/17-12/09,,-,"De Barra, Chelssee Randal",1,1,2-05,5100,,
91989,LSKL,800,TR,Supp.Lrn Asst.-TRIO (.5),,08/17-12/09,,-,"De Barra, Chelssee Randal",0.5,0.5,2-05,5100,,
95205,LSKL,803,AA,Supv. Peer Tutoring,,08/17-12/09,,-,"De Barra, Chelssee Randal",0,0,2-05,5100,,
91796,LSKL,803,OLH,Supervised Peer Tutoring,,08/17-12/09,,-,"De Barra, Chelssee Randal",0,0,2-ONLN,0,Y,
91150,LSKL,803,OMH,Supv. Peer Tutoring - MESA,,08/17-12/09,,-,"Folsom, Jing Jin",0,0,2-ONLN,0,Y,
94732,LSKL,803,ONH,Supv. Peer Tutoring - TRIO,,08/17-12/09,,-,"De Barra, Chelssee Randal",0,0,2-ONLN,0,Y,
97596,LSKL,803,PA,Supv. Peer Tutoring - PROM,,08/17-12/09,,-,"De Barra, Chelssee Randal",0,2-05,5100,,,
96395,LSKL,803,POH,Supv. Peer Tutoring - PROM,,08/17-12/09,,-,"De Barra, Chelssee Randal",0,0,2-ONLN,0,Y,
95221,LSKL,803,TR,Supv. Peer Tutoring - TRIO,,08/17-12/09,,-,"De Barra, Chelssee Randal",0,2-05,5100,,,
97579,LSKL,892,HA,Chemistry Jam,,08/08-08/12,MTWRF,1300 - 1500,"Schubert, Susanne Gundula0",,2-ONLN,0,Y,,
97579,LSKL,892,HA,Chemistry Jam,,08/08-08/12,MTWRF,1505 - 1710,"Schubert, Susanne Gundula0",,2-07,7106,Y,,
97005,LSKL,892,YAH,Chemistry Jam,,08/08-08/12,MTWRF,1300 - 1500,"Schubert, Susanne Gundula0",,2-ONLN,0,,,
97005,LSKL,892,YAH,Chemistry Jam,,08/08-08/12,MTWRF,1505 - 1710,"Schubert, Susanne Gundula0",,2-ONLN,0,,,
80566,MATH,130,AY,Analytical Trigonometry - FYE,,08/18-12/08,TR,1310 - 1500,"Leach, Evan Charles",4,2-04,271,Y,,
97631,MATH,130,JB,Analytical Trigonometry,,08/17-12/14,MW,1730 - 1920,"Staff,",4,2-04,271,,,
96701,MATH,130,PE,Analytical Trigonometry PROM,,08/18-12/08,TR,1310 - 1500,"Leach, Evan Charles",4,2-04,271,,,
97796,MATH,150,EVH,Math,Elem. School Tea-EdVance,08/17-10/10,MW,1830 - 2135,"Broxholm, Valerie Susan",3,2-ONLN,0,,,
97797,MATH,150,YSH,Math for Elementary School Tea,,08/17-10/10,MW,1830 - 2135,"Staff,",3,2-ONLN,0,,,
97649,MATH,200,JA,Elem Probability & Statistics,,08/18-12/15,TR,1730 - 1920,"Staff,",4,2-04,271,,,
97651,MATH,200,JB,Elem Probability & Statistics,,08/17-12/14,MW,1900 - 2100,"Staff,",4,2-07,7104,,,
96749,MATH,200,MC,Statistics -,Middle College,08/17-12/08,MTWR,1110 - 1200,"Weathersby, Kenyatta Ojin",4,2-07,7111,,,
97643,MATH,200,OLH,Elem Probability & Statistics,,08/17-12/17,,-,"Moss, Cynthia",4,2-ONLN,0,Y,,
,,,,,,,,26,of,38,,,,,
,,,,,,,,,,,Web,Web,Hybrid,Learn
CRN,Subj,Crse,Sec,Title,Dates,Days,Time,Instructor,Units,Bldg,Room,,,
,,,,,,,,,,,Based,Asst,Comm,
91249,MATH,200,OSH,Elem Probability & Statistics,08/29-12/17,,-,"Moss, Cynthia",4,2-ONLN,0,Y,,
97648,MATH,200,OUH,Elem Probability & Statistics,10/17-12/10,,-,"Wang, Ching-Yi Miranda",4,2-ONLN,0,Y,,
96707,MATH,200,PG,Elem Probability & Stats PROM,08/17-12/08,MTWR,1110 - 1200,"Weathersby, Kenyatta Ojin",4,2-ONLN,0,,,
80568,MATH,200,YAH,Elem Probability & Statistics,08/17-12/09,MF,0910 - 1000,"Hum, Denise Jeanine",4,2-ONLN,0,,,
80568,MATH,200,YAH,Elem Probability & Statistics,08/17-12/09,W,0910 - 1100,"Hum, Denise Jeanine",4,2-ONLN,0,,,
96748,MATH,200,YBH,Elem Probability & Statistics,08/17-12/09,MF,1110 - 1200,"Hum, Denise Jeanine",4,2-ONLN,0,,,
96748,MATH,200,YBH,Elem Probability & Statistics,08/17-12/09,W,1110 - 1300,"Hum, Denise Jeanine",4,2-ONLN,0,,,
88298,MATH,200,YHH,Elem Probability & Statistics,08/18-12/08,TR,1310 - 1500,"Hough Jr, Richard A",4,2-ONLN,0,,,
93209,MATH,201,OSH,Math in Society,08/29-12/17,,-,"Moss, Cynthia",3,2-ONLN,0,Y,,
97286,MATH,211,ZAH,Introduction to Data Science,08/18-12/08,TR,0930 - 1045,"Momeni, Kayvan",4,2-ONLN,0,,,
97286,MATH,211,ZAH,Introduction to Data Science,08/18-12/08,,-,"Momeni, Kayvan",4,2-ONLN,0,,,
84731,MATH,222,AA,Precalculus,08/17-12/09,MTWR,1010 - 1100,"Fredricks, Stephen T",5,2-04,271,,,
96987,MATH,225,AA,Path to Calculus,08/17-12/07,MTW,0905 - 1050,"Choi, Young A",6,2-08,8304,,,
96330,MATH,225,AC,Path to Calculus,08/17-12/09,MWF,1310 - 1500,"Hasson, David Vittorio",6,2-04,273,,,
97658,MATH,225,AD,Path to Calculus,08/17-12/09,MWF,1010 - 1200,"Hasson, David Vittorio",6,2-07,7106,,,
97652,MATH,225,AY,Path to Calculus-FYE,08/17-12/07,MTW,0905 - 1050,"Choi, Young A",6,2-04,271,Y,,
97697,MATH,225,BY,Path to Calculus-BCS,08/17-12/09,MWF,1310 - 1500,"Hasson, David Vittorio",6,2-04,273,Y,,
97757,MATH,225,MC,Path to Calculus - Middle Clg,08/17-12/09,MWF,1010 - 1200,"Hasson, David Vittorio",6,2-07,7106,,,
96711,MATH,225,PB,Path to Calculus - PROM,08/17-12/09,MWF,1310 - 1500,"Hasson, David Vittorio",6,2-04,273,,,
84732,MATH,241,AA,Applied Calculus I,08/17-12/09,MTWRF,0810 - 0900,"Fredricks, Stephen T",5,2-04,271,,,
97662,MATH,241,JA,Applied Calculus I,08/18-12/15,TR,1930 - 2145,"Broxholm, Valerie Susan",5,2-07,7111,,,
97664,MATH,251,AA,Calculus/Analytic Geometry I,08/17-12/09,MTWRF,0800 - 0900,"Freedman, Jonathan Pryor",5,2-12,134,,,
96746,MATH,251,BC,Calc/Analytic Geometry I-BCS,08/17-12/09,MTWRF,0800 - 0900,"Freedman, Jonathan Pryor",5,2-12,134,Y,,
97673,MATH,251,BCS,Calc/Analytic Geometry I-BCS,08/17-12/09,MTWRF,1210 - 1300,"Leach, Evan Charles",5,2-04,273,Y,,
95797,MATH,251,EN,Calc/Analyt Geo I. - ETS,08/17-12/09,MTWRF,1210 - 1300,"Leach, Evan Charles",5,2-04,273,Y,,
96264,MATH,252,AA,Calcu/Analytic Geometry II,08/17-12/09,MTWRF,0810 - 0900,"Tsuchida, Tadashi P",5,2-07,7111,,,
96383,MATH,252,AB,Calcu/Analytic Geometry II,08/17-12/09,MTWRF,1205 - 1300,"Tsuchida, Tadashi P",5,2-08,8213,,,
,,,,,,,27,of,38,,,,,
,,,,,,,,,,,,Web,Web,Hybrid,Learn
CRN,Subj,Crse,Sec,Title,Dates,Days,Time,Instructor,Units,,Bldg,Room,,,
,,,,,,,,,,,,Based,Asst,Comm,
96263,MATH,252,EN,Calc/Analyt Geom. II-ETS BCS,08/17-12/09,MTWRF,0810 - 0900,"Tsuchida, Tadashi P",5,,2-07,7111,Y,,
96984,MATH,253,AB,Calculus/Analytic Geometry III,08/17-12/09,MTWRF,1310 - 1400,"Freedman, Jonathan Pryor",5,,2-08,8302,,,
80580,MATH,270,OLH,Linear Algebra,08/17-12/17,,-,"Williams, Phillip A",3,,2-ONLN,0,Y,,
90572,MATH,275,OLH,Ordinary Differential Equation,08/17-12/17,,-,"Williams, Phillip A",3,,2-ONLN,0,Y,,
86596,MATH,650,OLH,Math Supplement-TRIO,08/17-12/09,,-,"Wang, Ching-Yi Miranda",0.5,0.5,2-ONLN,0,Y,,
89934,MATH,650,OMH,Math Supplement-TRIO,08/17-12/09,,-,"Wang, Ching-Yi Miranda",1,1,2-ONLN,0,Y,,
91160,MATH,650,TI,Math Supplement-TRIO,08/17-12/09,,-,"Wang, Ching-Yi Miranda",1,1,2-05,5100,,,
89637,MATH,650,TR,Math Supplement-TRIO,08/17-12/09,,-,"Wang, Ching-Yi Miranda",0.5,0.5,2-05,5100,,,
97632,MATH,800,YAH,Just-in-Time Sup ElemProb&Stat,08/19-12/09,MF,1010 - 1100,"Hum, Denise Jeanine",2,,2-ONLN,0,,,
97636,MATH,800,YBH,Just-in-Time Sup ElemProb&Stat,08/19-12/09,MF,1210 - 1300,"Hum, Denise Jeanine",2,,2-ONLN,0,,,
96753,MATH,825,AA,Path to Calculus in Time,08/18-12/08,R,0910 - 1050,"Choi, Young A",2,,2-08,8304,,,
97655,MATH,825,AB,Just-in-Time Sup Path to Calc,08/18-12/08,R,1210 - 1400,,2,,2-07,7111,,,
97653,MATH,825,AY,Just-in-Time Path to Calc-FYE,08/18-12/08,R,0910 - 1050,"Choi, Young A",2,,2-08,8304,Y,,
96657,MATH,830,JB,Just-in-Time Sup Analytic Trig,08/17-12/14,MW,1930 - 2000,"Staff,",1,,2-04,271,,,
97736,MATH,841,AA,Just-in-Time Sup Appl Calc I,08/18-12/08,TR,0905 - 0935,"Fredricks, Stephen T",1,,2-04,271,,,
96592,MGMT,101,OLH,Intro to Human Resources Mgmt,08/17-10/15,,-,"McCarthy, Soledad Alejand",3,,2-ONLN,0,Y,,
96887,MGMT,151,OLH,HR Compensation & Benefits,10/17-12/10,,-,"Beltran, Herlene Grace H",3,,2-ONLN,0,Y,,
80596,MUS.,100,AA,Fundamentals of Music,08/17-12/07,MW,1110 - 1225,"Gomez, Pedro A",3,3,2-01,1107,,,
94898,MUS.,100,AB,Fundamentals of Music,08/18-12/08,TR,1110 - 1225,"Gomez, Pedro A",3,,2-01,1107,,,
89886,MUS.,100,OLH,Fundamentals of Music,08/17-12/17,,-,"Navari, Jude J",3,3,2-ONLN,0,Y,,
97320,MUS.,105,AX,Music Theory I,08/17-12/09,MWF,0910 - 1000,"Navari, Jude J",3,,2-01,1206,,,
93184,MUS.,105,YAH,Music Theory I,08/17-12/09,MWF,0910 - 1000,"Navari, Jude J",3,3,2-ONLN,0,,,
97321,MUS.,107,AX,Music Theory III,08/18-12/08,TR,0935 - 1050,"Navari, Jude J",3,,2-01,1206,,,
93557,MUS.,107,YAH,Music Theory III,08/18-12/08,TR,0935 - 1050,"Navari, Jude J",3,3,2-ONLN,0,,,
97322,MUS.,111,AX,Musicianship I,08/17-12/09,MWF,1010 - 1100,"Navari, Jude J",1,,2-01,1206,,,
80599,MUS.,111,YAH,Musicianship I,08/17-12/09,MWF,1010 - 1100,"Navari, Jude J",1,1,2-ONLN,0,,,
97323,MUS.,113,AX,Musicianship III,08/18-12/08,TR,1110 - 1225,"Navari, Jude J",1,,2-01,1206,,,
,,,,,,,28,of,38,,,,,,
,,,,,,,,,,,,Web,Web,Hybrid,Learn
CRN,Subj,Crse,Sec,Title,Dates,Days,Time,Instructor,Units,,Bldg,Room,,,
,,,,,,,,,,,,Based,Asst,Comm,
93558,MUS.,113,YAH,Musicianship III,08/18-12/08,TR,1110 - 1225,"Navari, Jude J",1,1,2-ONLN,0,,,
90570,MUS.,115,AX,"Music, Art and Ideas",08/17-12/07,MW,0935 - 1050,"Takayama, Arthur Akira",3,3,2-01,1107,,,
